ADDRESS,CITY,STATE,ZIP,PRICE,SQUARE,LOTSIZE,DAYSONMARKET,SQUAREFEET,MLS,LATITUDE,LONGITUDE
2914 Oakton Ridge Cir,Oakton,VA,22124,957500,4268,28270,11,224,VAFX1120540,38.8890815,-77.3157726
9228 Brian Dr,Vienna,VA,22180,950000,3065,15113,1,310,VAFX1117364,38.8799267,-77.2651425
9909 Chappell Ln,Vienna,VA,22181,1179000,5076,23036,7,232,VAFX1121692,38.8877188,-77.2884404
10350 Southam Ln,Oakton,VA,22124,1215000,6883,6077,1,177,VAFX1122658,38.883405,-77.3036108
11235 Sorrel Ridge Ln,Oakton,VA,22124,949900,4370,91398,6,217,VAFX1117130,38.8912827,-77.3372658
8304 Wolftrap Rd,Vienna,VA,22182,1150000,4127,7817,17,279,VAFX1120074,38.9054897,-77.232118
1508 Cerritos Ct,Vienna,VA,22182,789000,2303,23404,9,343,VAFX1121288,38.9448846,-77.2774878
2922 Melanie Ln,Oakton,VA,22124,725000,2600,21805,76,279,VAFX1106614,38.8882071,-77.3213369
2813 Rifle Ridge Rd,Oakton,VA,22124,919000,3750,24572,11,245,VAFX1120094,38.9010852,-77.3409448
10143 Oakwood Chase Ct,Oakton,VA,22124,625000,1786,2310,12,350,VAFX1118774,38.875752,-77.295801
1282 Cobble Pond Way,Vienna,VA,22182,1190000,6084,38593,13,196,VAFX1119794,38.9697325,-77.3096245
606 Truman Cir SW,Vienna,VA,22180,995000,2663,11131,17,374,VAFX1117992,38.8869299,-77.2656363
605 Roberts Dr NW,Vienna,VA,22180,649000,1798,12800,9,361,VAFX1121490,38.9013969,-77.2831887
10216 Brittenford Dr,Vienna,VA,22182,1185000,5625,27710,3,211,VAFX1121656,38.9451486,-77.2958912
1218 Delta Glen Ct,Vienna,VA,22182,929000,3309,26740,3,281,VAFX1117620,38.9722903,-77.3062587
1331 Stokley Way,Vienna,VA,22182,854900,3170,10785,64,270,VAFX1106840,38.9522209,-77.2672525
900 Frederick St SW,Vienna,VA,22180,869900,3398,10009,62,256,VAFX1109422,38.8894145,-77.2623141
1866 Amberwood Manor Ct,Vienna,VA,22182,1195000,3768,3640,34,317,VAFX1116122,38.9192739,-77.2420096
8607 Antioch Cir,Vienna,VA,22180,599000,2232,11820,34,268,VAFX1115694,38.8803,-77.2445341
10341 Southam Ln,Oakton,VA,22124,1043000,5776,5400,32,181,VAFX1115858,38.8825318,-77.3033415
312 Broadleaf Dr NE,Vienna,VA,22180,700000,2198,12580,32,318,VAFX1115150,38.9113433,-77.2667138
9417 Atwood Rd,Vienna,VA,22182,925000,3028,40119,25,305,VAFX1118608,38.953022,-77.2723254
2304 Trott Ave,Vienna,VA,22181,1050000,4725,23462,18,222,VAFX1110356,38.9081235,-77.2953975
